channel_error_probability,decoded_bit_error_rate,raw_channel_bit_error_rate,bits
0.000000,0.00000000e+00,0.00000000e+00,327680
0.005000,0.00000000e+00,5.06307899e-03,327680
0.010000,0.00000000e+00,1.01642491e-02,327680
0.020000,1.83105469e-05,1.98409313e-02,327680
0.030000,9.46044922e-05,2.99640419e-02,327680
0.040000,6.98852539e-04,4.01983788e-02,327680
0.050000,2.65808105e-03,5.02849220e-02,327680
0.070000,1.71875000e-02,7.05433325e-02,327680
0.090000,5.98388672e-02,8.99576426e-02,327680
0.110000,1.43588257e-01,1.09934178e-01,327680
0.130000,2.47882080e-01,1.29746160e-01,327680
0.150000,3.35885620e-01,1.50102084e-01,327680
